zip_code,city,state_code,latitude,longitude
00601,Adjuntas,PR,18.18027,-66.75266
00602,Aguada,PR,18.36075,-67.17541
00603,Aguadilla,PR,18.45744,-67.12225
00606,Maricao,PR,18.16585,-66.93716
00610,Anasco,PR,18.2911,-67.12243
00611,Angeles,PR,18.27698,-66.80688
00612,Arecibo,PR,18.41283,-66.7051
00616,Bajadero,PR,18.41878,-66.6679
00617,Barceloneta,PR,18.44598,-66.56006
00622,Boqueron,PR,17.98892,-67.1566
00623,Cabo Rojo,PR,18.08429,-67.15336
00624,Penuelas,PR,18.05905,-66.71932
00627,Camuy,PR,18.41905,-66.86037
00631,Castaner,PR,18.1852,-66.83169
00637,Sabana Grande,PR,18.081,-66.94659
00638,Ciales,PR,18.28462,-66.5137
00641,Utuado,PR,18.26742,-66.70212
00646,Dorado,PR,18.43251,-66.28429
00647,Ensenada,PR,17.96667,-66.94266
00650,Florida,PR,18.34487,-66.58347
00652,Garrochales,PR,18.45614,-66.60194
00653,Guanica,PR,17.99413,-66.90266
00656,Guayanilla,PR,18.04186,-66.79123
00659,Hatillo,PR,18.41036,-66.79691
00660,Hormigueros,PR,18.13412,-67.11399
00662,Isabela,PR,18.46622,-67.01508
00664,Jayuya,PR,18.21064,-66.59066
00667,Lajas,PR,18.01246,-67.0417
00669,Lares,PR,18.27019,-66.86727
00670,Las Marias,PR,18.23782,-66.98852
00674,Manati,PR,18.42229,-66.4891
00676,Moca,PR,18.37897,-67.08098
00677,Rincon,PR,18.33535,-67.23155
00678,Quebradillas,PR,18.42949,-66.93016
00680,Mayaguez,PR,18.16307,-67.36122
00682,Mayaguez,PR,18.22415,-67.15309
00683,San German,PR,18.10926,-67.03803
00685,San Sebastian,PR,18.33656,-66.97518
00687,Morovis,PR,18.31707,-66.42029
00688,Sabana Hoyos,PR,18.3807,-66.62496
00690,San Antonio,PR,18.49363,-67.09734
00692,Vega Alta,PR,18.40905,-66.33768
00693,Vega Baja,PR,18.42633,-66.39811
00694,Vega Baja,PR,18.48327,-66.39269
00698,Yauco,PR,18.07274,-66.85519
00703,Aguas Buenas,PR,18.24739,-66.13143
00704,Aguirre,PR,17.97442,-66.22888
00705,Aibonito,PR,18.1294,-66.26653
00707,Maunabo,PR,18.01752,-65.92127
00714,Arroyo,PR,17.9981,-66.05635
00715,Mercedita,PR,17.99738,-66.56104
00716,Ponce,PR,17.99942,-66.59868
00717,Ponce,PR,18.00272,-66.61146
00718,Naguabo,PR,18.23145,-65.76067
00719,Naranjito,PR,18.28879,-66.25316
00720,Orocovis,PR,18.21559,-66.42421
00723,Patillas,PR,18.03139,-66.01122
00725,Caguas,PR,18.22052,-66.03962
00727,Caguas,PR,18.21142,-66.07374
00728,Ponce,PR,18.00697,-66.65995
00729,Canovanas,PR,18.33524,-65.88677
00730,Ponce,PR,18.03256,-66.61384
00731,Ponce,PR,18.09914,-66.63279
00735,Ceiba,PR,18.2525,-65.67534
00736,Cayey,PR,18.10736,-66.14994
00738,Fajardo,PR,18.31793,-65.66793
00739,Cidra,PR,18.17543,-66.16198
00740,Puerto Real,PR,18.33251,-65.63419
00741,Punta Santiago,PR,18.16569,-65.75506
00745,Rio Grande,PR,18.3466,-65.81382
00751,Salinas,PR,18.01205,-66.25871
00754,San Lorenzo,PR,18.1447,-65.97565
00757,Santa Isabel,PR,17.9933,-66.39056
00765,Vieques,PR,18.12365,-65.43013
00766,Villalba,PR,18.13039,-66.4757
00767,Yabucoa,PR,18.07033,-65.89618
00769,Coamo,PR,18.09459,-66.3607
00771,Las Piedras,PR,18.18797,-65.86916
00772,Loiza,PR,18.43048,-65.90377
00773,Luquillo,PR,18.34073,-65.72756
00775,Culebra,PR,18.31387,-65.28618
00777,Juncos,PR,18.22365,-65.90904
00778,Gurabo,PR,18.26319,-65.97938
00780,Coto Laurel,PR,18.09998,-66.57032
00782,Comerio,PR,18.22501,-66.22452
00783,Corozal,PR,18.30348,-66.32851
00784,Guayama,PR,18.00558,-66.13651
00786,La Plata,PR,18.1357,-66.22881
00791,Humacao,PR,18.14391,-65.81398
00794,Barranquitas,PR,18.19934,-66.31179
00795,Juana Diaz,PR,18.05128,-66.49485
00802,St Thomas,VI,18.34349,-64.9287
00820,Christiansted,VI,17.7388,-64.70695
00830,St John,VI,18.33857,-64.73802
00840,Frederiksted,VI,17.72649,-64.84717
00850,Kingshill,VI,17.72763,-64.79122
00851,Kingshill,VI,17.74757,-64.78737
00901,San Juan,PR,18.46478,-66.10277
00907,San Juan,PR,18.45287,-66.08381
00909,San Juan,PR,18.44131,-66.06866
00911,San Juan,PR,18.45133,-66.05636
00912,San Juan,PR,18.44503,-66.05995
00913,San Juan,PR,18.45024,-66.04275
00915,San Juan,PR,18.43673,-66.04576
00917,San Juan,PR,18.4208,-66.04989
00918,San Juan,PR,18.42139,-66.06774
00920,San Juan,PR,18.41904,-66.09023
00921,San Juan,PR,18.39206,-66.0871
